epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,15.169,1.24489,2.08671,2.63586,0.00586,4.47937,0.10293,0.16111,0.09967,0.06218,0.10504,0.16111,0.09524,0.06328,1.20577,2.73822,3.32041,0.01439,0,0.000915875,0.000915875,0.000915875
29,15.6604,1.16107,1.88073,2.46789,0.00527,4.10782,0.10293,0.16111,0.09967,0.06218,0.10504,0.16111,0.09524,0.06328,1.20577,2.73822,3.32041,0.01439,0,0.0009035,0.0009035,0.0009035
30,16.2414,1.21122,2.04429,2.50066,0.00533,4.04935,0.12627,0.16111,0.11645,0.07813,0.1275,0.16111,0.11368,0.08158,1.19689,2.57093,3.33078,0.01464,0,0.000891125,0.000891125,0.000891125
31,16.7513,1.15004,1.95099,2.48743,0.00531,3.95313,0.14199,0.18111,0.10494,0.07138,0.14199,0.18111,0.10358,0.07299,1.09354,2.40753,3.24871,0.01353,0,0.00087875,0.00087875,0.00087875
32,17.2575,1.18063,2.04147,2.38749,0.00503,3.81952,0.14199,0.18111,0.10494,0.07138,0.14199,0.18111,0.10358,0.07299,1.09354,2.40753,3.24871,0.01353,0,0.000866375,0.000866375,0.000866375
33,17.7727,1.21003,1.98225,2.48158,0.00556,3.64586,0.36493,0.16111,0.09064,0.0615,0.36493,0.16111,0.08827,0.06079,1.06989,2.30526,3.19516,0.0127,0,0.000854,0.000854,0.000854
34,18.3488,1.15506,1.95364,2.31841,0.00533,3.45588,0.36493,0.16111,0.09064,0.0615,0.36493,0.16111,0.08827,0.06079,1.06989,2.30526,3.19516,0.0127,0,0.000841625,0.000841625,0.000841625
35,18.871,1.21037,1.91169,2.37657,0.00526,3.34374,0.34611,0.21802,0.09011,0.06054,0.34611,0.21802,0.08816,0.06219,1.09235,2.30723,3.15485,0.01226,0,0.00082925,0.00082925,0.00082925
36,19.3974,1.18108,1.89711,2.3177,0.00481,3.31364,0.43829,0.13823,0.10768,0.07065,0.43829,0.13823,0.10878,0.07136,1.00399,2.27822,3.12108,0.01187,0,0.000816875,0.000816875,0.000816875
37,19.8921,1.17324,1.94365,2.30948,0.00502,3.17927,0.43829,0.13823,0.10768,0.07065,0.43829,0.13823,0.10878,0.07136,1.00399,2.27822,3.12108,0.01187,0,0.0008045,0.0008045,0.0008045
38,20.3984,1.20794,1.9778,2.33644,0.00532,3.30177,0.42912,0.22667,0.12234,0.07918,0.42912,0.22667,0.12234,0.07856,1.01361,2.15675,3.09212,0.01234,0,0.000792125,0.000792125,0.000792125
39,20.9786,1.20457,1.85673,2.27165,0.00517,2.98356,0.40384,0.24667,0.12477,0.0768,0.40384,0.24667,0.11951,0.07788,1.10355,2.22534,3.07847,0.01329,0,0.00077975,0.00077975,0.00077975
40,21.4624,1.14356,1.85891,2.2479,0.00556,2.84527,0.40384,0.24667,0.12477,0.0768,0.40384,0.24667,0.11951,0.07788,1.10355,2.22534,3.07847,0.01329,0,0.000767375,0.000767375,0.000767375
41,21.9704,1.15613,1.91498,2.29615,0.00542,2.84451,0.37043,0.38778,0.12846,0.08531,0.38141,0.32621,0.12243,0.08122,1.01736,2.41803,2.99442,0.01224,0,0.000755,0.000755,0.000755
42,22.6651,1.12835,1.7174,2.22101,0.00477,2.80085,0.37043,0.38778,0.12846,0.08531,0.38141,0.32621,0.12243,0.08122,1.01736,2.41803,2.99442,0.01224,0,0.000742625,0.000742625,0.000742625
43,23.1764,1.17025,1.78171,2.14367,0.00522,2.58931,0.36437,0.26798,0.13111,0.07905,0.36437,0.26798,0.12802,0.0855,1.07076,2.12903,3.07617,0.01325,0,0.00073025,0.00073025,0.00073025
